,1900.0,1926.09,1952.17,1978.26,2004.35,2030.43,2056.52,2082.61,2108.7,2134.78,2160.87,2186.96,2213.04,2239.13,2265.22,2291.3,2317.39,2343.48,2369.57,2395.65,2421.74,2447.83,2473.91,2500.0,2526.09,2552.17,2578.26,2604.35,2630.43,2656.52,2682.61,2708.7,2734.78,2760.87,2786.96,2813.04,2839.13,2865.22,2891.3,2917.39,2943.48,2969.57,2995.65,3021.74,3047.83,3073.91,3100.0,3126.09,3152.17,3178.26,3204.35,3230.43,3256.52,3282.61,3308.7,3334.78,3360.87,3386.96,3413.04,3439.13,3465.22,3491.3,3517.39,3543.48,3569.57,3595.65,3621.74,3647.83,3673.91,3700.0
Mg,-4.042630119955745,-3.8771843868879516,-3.716378189958194,-3.5600247849538675,-3.4079400868197443,-3.2599585548486285,-3.1159140352969867,-2.9756552761831596,-2.8390388021950965,-2.7059212182120067,-2.576175283923197,-2.449673026208977,-2.3262926384111733,-2.205924743948078,-2.0884584245180067,-1.973787861410015,-1.8618187990061923,-1.7524545857103586,-1.645605128901158,-1.5411843458523977,-1.4391099484041883,-1.3393032411535764,-1.2416889322006028,-1.146194955557779,-1.0527523043988918,-0.9612948743862937,-0.8717593163743,-0.7840848978406791,-0.6982133724478645,-0.6140888571814509,-0.5316599885946447,-0.45087080089645326,-0.3716740413558588,-0.2940221872770348,-0.21787188431963325,-0.14317468524638155,-0.06989057446005376,0.002018720799027204,0.07259690079376657,0.14187705654747518,0.2098999400139903,0.2766959930700086,0.342303319372228,0.4067498994737675,0.47007146026042435,0.5322936878044957,0.5934501794172555,0.6535644740044875,0.7126682658433259,0.7707830756610528,0.8279365682435578,0.8841553646541027,0.9394585216047373,0.9938711788302947,1.0474175796175382,1.100114550600222,1.151985032324938,1.2030511954542606,1.2533278374674341,1.3028359822484505,1.3515959939954325,1.3996208118534903,1.4469297898218934,1.493539398039866,1.5394678251000355,1.5847260078699807,1.6293312766707866,1.6732981893751293,1.7166431002429285,1.759375166768654
Fe,-4.079104437622472,-3.9340486464758646,-3.793211138057112,-3.6563951783747974,-3.523415692140727,-3.394100163318539,-3.268285963081974,-3.145821146593038,-3.026563054721924,-2.910377107046118,-2.7971374669190316,-2.6867251730207675,-2.5790281782248945,-2.4739412427865,-2.371364568195151,-2.2712038514539294,-2.1733702553765664,-2.077779250833637,-1.9843508247005222,-1.8930090381439193,-1.8036817479828429,-1.7163003513403003,-1.630799551525441,-1.5471171432314534,-1.4651938152836959,-1.38497296932033,-1.306400552930426,-1.2294249059101743,-1.1539966184243786,-1.0800683999779421,-1.0075950422814621,-0.9365329717045352,-0.8668406469554935,-0.7984781282552529,-0.731407150307458,-0.6655907231057814,-0.6009935237399109,-0.537581588856654,-0.47532201979978117,-0.41418344361055937,-0.35413536601403095,-0.29514868785519116,-0.2371950923742134,-0.18024754526761108,-0.12427970709852112,-0.0692664235676288,-0.015183155168826186,0.037993536509880285,0.09028654884593837,0.14171775055860003,0.1923084739862859,0.24207934017270863,0.2910501136564214,0.3392401002028489,0.38666798016505943,0.43335166413115234,0.4793086723064208,0.5245559728137525,0.5691098363564824,0.612986203983509,0.6562005276514085,0.6987676222498158,0.7407020274051164,0.7820177919185298,0.8227286022877631,0.8628475821098831,0.9023876349733766,0.9413612369578366,0.9797805581432524,1.017657265479962
FeO,-7.924242881946545,-7.749984441053024,-7.58080487187261,-7.416472338580465,-7.2567685189872435,-7.101489384866912,-6.950442418898005,-6.803447308818225,-6.660334454184258,-6.520943671415942,-6.385124777320512,-6.2527356449719464,-6.123642172292464,-5.997718109900241,-5.874843634166478,-5.7549053448791465,-5.637796182774443,-5.523414222565544,-5.41166283494654,-5.30245020195769,-5.195688998218792,-5.091296098037453,-4.989192306140335,-4.889302109936989,-4.7915534513896825,-4.695877516723622,-4.602208542366713,-4.510483635654554,-4.420642608972865,-4.332627826136207,-4.246384143989431,-4.161858444835408,-4.079000015244603,-3.9977600974372827,-3.9180919454694982,-3.839950410197894,-3.763292316123959,-3.6880761397176984,-3.6142617011919325,-3.5418106128606146,-3.4706856201610288,-3.4008511067620946,-3.3322724711088747,-3.2649166163138874,-3.1987513529245657,-3.1337458800468863,-3.0698702063198686,-3.0070956279740733,-2.9453941609427625,-2.884739021045544,-2.825104124637913,-2.766464256798076,-2.708795210136855,-2.6520733809733246,-2.596275930172777,-2.541380921973117,-2.487366939336459,-2.4342132406283445,-2.3818999001671264,-2.33040743589126,-2.279716964438082,-2.2298103449568156,-2.180669813330442,-2.132278193940631,-2.0846187675173837,-2.037675468267178,-1.99143253766348,-1.9458747287735654,-1.9009871817124577,-1.8567556178661182
MgO,-9.121979090595607,-8.88704794670213,-8.658693527337165,-8.436651395708983,-8.220663846421143,-8.010495528002997,-7.805914042910057,-7.606705237990809,-7.412665871760523,-7.223595725555354,-7.039313499757274,-6.859639760585602,-6.684403685523931,-6.513449183877354,-6.346620791832903,-6.1837701897498425,-6.024762550043844,-5.869462470243749,-5.717742827220569,-5.569482133985588,-5.424564236342111,-5.282878028703304,-5.144317187694232,-5.008779922263314,-4.876168739127942,-4.746390222471017,-4.619354826889845,-4.494976682676878,-4.373173412583128,-4.253865959280796,-4.136980694840701,-4.022440254765689,-3.9101768118707234,-3.8001230540968605,-3.69221658587793,-3.586390631998462,-3.48258752917182,-3.380752006086296,-3.280823983605903,-3.1827545836414766,-3.0864878325968186,-2.9919786073888712,-2.899174639913957,-2.808034279486178,-2.7185086021134093,-2.63055917744421,-2.544140097540238,-2.459215928309785,-2.3757434784281344,-2.293690111811765,-2.2130174143697863,-2.133688366906184,-2.0556738515877377,-1.9789389910876005,-1.9034501152143846,-1.8291812688808402,-1.7561006698742165,-1.6841775815308404,-1.6133889054256012,-1.543705571659188,-1.4750994152835175,-1.4075499324390681,-1.3410304316305997,-1.2755173240156135,-1.2109855130364144,-1.147417356896439,-1.0847890160140892,-1.0230796118747465,-0.9622666514471011,-0.9023350138747233
Ca,-8.811976675059032,-8.610553208490035,-8.41482224390062,-8.224546079698312,-8.039484572519095,-7.859429706788763,-7.684165081831525,-7.513499684793475,-7.347253072554798,-7.1852391066263,-7.027301059078264,-6.873275425563024,-6.723007121653344,-6.576363409468511,-6.433203783649459,-6.293394612660693,-6.156823485052261,-6.023368957954279,-5.892920274692511,-5.76537198122501,-5.640623619471667,-5.518579439906759,-5.399148132309282,-5.282242573583035,-5.16777959158842,-5.055679743967062,-4.945867110985619,-4.838269101474093,-4.732816270984579,-4.6294421513475035,-4.528088101943035,-4.428683283851665,-4.331174108100209,-4.235504511744929,-4.141625830622228,-4.049476421130526,-3.9590115985526726,-3.870188941202263,-3.7829525017558097,-3.6972683173338536,-3.6130840791770487,-3.5303689276616432,-3.449073759053999,-3.3691706198305402,-3.2906132208071397,-3.213376345225492,-3.1374161637627673,-3.062710053398293,-2.989216319338814,-2.9169148144393673,-2.845770849063793,-2.775751141370753,-2.706838294842286,-2.6390006084042907,-2.572207564843598,-2.506444303824217,-2.441681683489996,-2.377891555325201,-2.3150614169917523,-2.2531643170372964,-2.1921741322544546,-2.1320805745481644,-2.072858562314565,-2.0144888367672955,-1.9569477913301259,-1.900227353818515,-1.8443047918921605,-1.7891630276928838,-1.7347805408653247,-1.6811512915580655
Si,-9.913103626763926,-9.621791112863468,-9.33781927569839,-9.06090751519988,-8.790800812929835,-8.527242512900369,-8.27000301655119,-8.018853508287236,-7.773575788586843,-7.533972976899829,-7.299842904252525,-7.071003498132512,-6.847280787561186,-6.628498130578134,-6.41449708374914,-6.205126103848883,-6.000229731290283,-5.799669477409816,-5.603309204313804,-5.411018412150657,-5.222671944843922,-5.038149714895612,-4.857336445730574,-4.680121430205967,-4.506398304044687,-4.336064833068804,-4.16902271321306,-4.005177382390473,-3.844437843363897,-3.6867164968505666,-3.531925574128513,-3.3799905223543956,-3.230829704656026,-3.0843676240602225,-2.9405280192821905,-2.7992474162033467,-2.6604547318552765,-2.5240810527194038,-2.390070026510249,-2.2583539058305995,-2.1288803949419375,-2.0015859268001295,-1.8764219926555006,-1.753328804358576,-1.6322613984322816,-1.513163400453803,-1.3959931765260416,-1.280697431641629,-1.167237670295778,-1.055563368637288,-0.9456356164406312,-0.8374165301130478,-0.7308597312480565,-0.6259300141463999,-0.5225931242623831,-0.4208062909908463,-0.3205376528562587,-0.2217562315260686,-0.12442239535591157,-0.02850731248613859,0.0660170255798995,0.1591875248028334,0.2510302613889204,0.3415738441427205,0.4308429073403053,0.5188709237251734,0.6056808455330351,0.6912981993861322,0.7757446503733583,0.8590507766755309
Al2O,-11.923768515398033,-11.611046961401078,-11.306948031288893,-11.011091808631484,-10.723125369312527,-10.442708566201684,-10.169527664738606,-9.903281457478244,-9.643685431212894,-9.39047663416466,-9.143399282447891,-8.902217223561067,-8.666707164144107,-8.4366522815629,-8.211852761828737,-7.992119345325889,-7.777266871754517,-7.567125222250649,-7.361530946828271,-7.160328663104101,-6.963370539721097,-6.77051581774214,-6.58163036737986,-6.396586277502649,-6.215261475461499,-6.037539374908217,-5.863308549413659,-5.6924624298381925,-5.524899023552139,-5.360520653746045,-5.199231633135211,-5.040946297438227,-4.885576512219455,-4.733039603587267,-4.583253997771347,-4.4361475821534775,-4.291644904795362,-4.149673137416969,-4.010168621210529,-3.873061617096976,-3.738293302139498,-3.6057986521921306,-3.4755232652357604,-3.3474063576103923,-3.221397584553862,-3.0974399800664685,-2.9754869377904187,-2.85548493033059,-2.7373908103341655,-2.621154147016676,-2.5067327621521462,-2.3940857474357315,-2.2831670882573647,-2.1739387010266302,-2.0663636406681922,-1.9603997316372315,-1.856012528301676,-1.7531686110348925,-1.6518291488202035,-1.5519629441078413,-1.4535397292606937,-1.3565235899561552,-1.260886242918259,-1.166598020911838,-1.0736322490624426,-0.9819565754566666,-0.8915460384404357,-0.802374209692915,-0.7144175322302662,-0.627646675770964
AlO,-10.823137690387368,-10.562328849772411,-10.308662864734824,-10.061837231671323,-9.821568816083861,-9.587586367108434,-9.359636986281545,-9.137478862043782,-8.92088305451287,-8.709635652220399,-8.50353031855748,-8.302374285131869,-8.10598474413531,-7.914185448124729,-7.72681178722057,-7.543707383322421,-7.364720696011469,-7.189710338178661,-7.0185407445921895,-6.851082735600498,-6.687213131962366,-6.526814396784477,-6.3697743026494,-6.2159856221040934,-6.065345839776858,-5.917756884494768,-5.773124879880285,-5.6313599120116535,-5.492375812835437,-5.356089958119094,-5.222422036789499,-5.091298004064647,-4.962643774912469,-4.836389132841342,-4.712465496310688,-4.59081004884227,-4.471359291162445,-4.354051977674667,-4.238832346790063,-4.125642455766661,-4.0144306407724955,-3.9051429220795315,-3.797731381491741,-3.6921456279973985,-3.5883411772441622,-3.486270892247403,-3.3858934460836343,-3.287164655195867,-3.19004610488902,-3.0944962937837337,-3.0004783791670064,-2.907956664127888,-2.8168933889358674,-2.7272552301742503,-2.639009885884091,-2.5521228733427197,-2.466563992352615,-2.382303957167892,-2.2993111624171294,-2.217558190853506,-2.137018447563423,-2.057662858282513,-1.9794664954733863,-1.902404058600224,-1.8264520506031008,-1.7515844320220633,-1.6777791439540126,-1.6050136693569734,-1.5332671922560062,-1.4625162660450082
SiO,-3.806136807930101,-3.6304357110523666,-3.4590655707611013,-3.2918637962846677,-3.128687262336003,-2.969385481772081,-2.813829662642064,-2.661886768633509,-2.5134296622759784,-2.3683480952411387,-2.226522367571514,-2.087848960143333,-1.9522287698409357,-1.8195565510899323,-1.6897419846532884,-1.562698565016035,-1.438332956999604,-1.316566044689031,-1.1973184622662432,-1.0805140224254073,-0.9660795541462974,-0.8539447511131915,-0.7440420298709522,-0.6363063969115021,-0.5306753239716713,-0.4270886308979893,-0.3254883754992628,-0.22581874986440195,-0.12802598267271303,-0.03205824706775041,0.06213783631910986,0.1546037476929012,0.24538930543324436,0.33453938313570225,0.4221007580986704,0.5081085072145877,0.5926063532491899,0.6756368395151511,0.757230893601359,0.8374317416108523,0.9162680215166783,0.993780468348604,1.0699955487840032,1.1449517648829182,1.218673517795883,1.2911973127981984,1.3625455787745286,1.432753042261067,1.5018402406051763,1.569840324874848,1.6367753941617644,1.7026670599955755,1.7675459462937808,1.8314320013661682,1.8943446999595708,1.9563124918748982,2.017353359045493,2.077484824608215,2.1367334732160206,2.195115482531633,2.2526465849333204,2.309351774283626,2.3652455652763527,2.4203453429461366,2.474664843259885,2.5282269543638316,2.5810443463655663,2.6331325554664105,2.6845035377365836,2.735178433869991
